name,symptoms,conditional_approval
Apretude,"Apretude is indicated in combination with safer sex practices for pre-exposure prophylaxis (PrEP) to reduce the risk of sexually acquired HIV-1 infection in high-risk adults and adolescents, weighing at least 35 kg (see sections 4.2, 4.4 and 5.1).",no
Litfulo,Litfulo is indicated for the treatment of severe alopecia areata in adults and adolescents 12 years of age and older.,no
Yesafili,"Yesafili is indicated for adults for the treatment ofneovascular (wet) age-related macular degeneration (AMD) (see section 5.1),visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO) (see section 5.1),visual impairment due to diabetic macular oedema (DME) (see section 5.1),visual impairment due to myopic choroidal neovascularisation (myopic CNV) (see section 5.1).",no
Abrysvo,Abrysvo is indicated for:Passive protection against lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age following maternal immunisation during pregnancy. See sections 4.2 and 5.1.Active immunisation of individuals 60 years of age and older for the prevention of lower respiratory tract disease caused by RSV.The use of this vaccine should be in accordance with official recommendations.,no
Talvey,"Talvey is indicated as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least 3 prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti CD38 antibody and have demonstrated disease progression on the last therapy.,",yes
Aquipta,Aquipta is indicated for prophylaxis of migraine in adults who have at least 4 migraine days per month,no
Ztalmy,Ztalmy is indicated for the adjunctive treatment of epileptic seizures associated with cyclin-dependent kinase-like 5 (CDKL5) deficiency disorder (CDD) in patients 2 to 17 years of age. Ztalmy may be continued in patients 18 years of age and older.,no
Pylclari,"This medicinal product is for diagnostic use only.Pylclari is indicated for the detection of prostate-specific membrane antigen (PSMA) positive lesions with positron emission tomography (PET) in adults with prostate cancer (PCa) in the following clinical settings:Primary staging of patients with high-risk PCa prior to initial curative therapy,To localize recurrence of PCa in patients with a suspected recurrence based on increasing serum prostate-specific antigen (PSA) levels after primary treatment with curative intent.Pylclari is indicated for use with positron emission tomography (PET).",no
Columvi,"Columvi as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B cell lymphoma (DLBCL), after two or more lines of systemic therapy.",yes
Lytgobi,Lytgobi monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that have progressed after at least one prior line of systemic therapy.,yes
Camzyos,Treatment of symptomatic obstructive hypertrophic cardiomyopathy.,no
Opfolda,Opfolda (miglustat) is an enzyme stabiliser of cipaglucosidase alfa long-term enzyme replacement therapy in adults with late-onset Pompe disease (acid α- glucosidase [GAA] deficiency).,no
Sugammadex Piramal,Reversal of neuromuscular blockade induced by rocuronium or vecuronium in adults.,no
Arexvy,Arexvy is indicated for active immunisation for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus in adults 60 years of age and older.The use of this vaccine should be in accordance with official recommendations.,no
Lacosamide Adroiq,"Lacosamide Adroiq is indicated as monotherapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 2 years of age with epilepsy.Lacosamide Adroiq is indicated as adjunctive therapyin the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 2 years of age with epilepsy.in the treatment of primary generalised tonic-clonic seizures in adults, adolescents and children from 4 years of age with idiopathic generalised epilepsy.",no
Briumvi,Briumvi is indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (RMS) with active disease defined by clinical or imaging features.,no
Sugammadex Adroiq,Reversal of neuromuscular blockade induced by rocuronium or vecuronium in adults.For the paediatric population: sugammadex is only recommended for routine reversal of rocuronium induced blockade in children and adolescents aged 2 to 17 years.,no
Omvoh,"Omvoh is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic treatment.",no
Dabigatran Etexilate Accord,Prevention of venous thromboembolic events,no
Epysqli,"Epysqli is indicated in adults and children for the treatment of Paroxysmal nocturnal haemoglobinuria (PNH).Evidence of clinical benefit is demonstrated in patients with haemolysis with clinical symptom(s) indicative of high disease activity, regardless of transfusion history.",no
Qaialdo,"In the management of refractory oedema associated with congestive cardiac failure; hepatic cirrhosis with ascites and oedema, malignant ascites, nephrotic syndrome, diagnosis and treatment of primary aldosteronism, essential hypertension.Neonates, children and adolescents should only be treated under guidance of a paediatric specialist (see sections 5.1 and 5.2).",no
Pedmarqsi,"Pedmarqsi is indicated for the prevention of ototoxicity induced by cisplatin chemotherapy in patients 1 month to < 18 years of age with localised, non-metastatic, solid tumours.",no
Hyftor,Hyftor is indicated for the treatment of facial angiofibroma associated with tuberous sclerosis complex in adults and paediatric patients aged 6 years and older.,no
Elfabrio,Elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of Fabry disease (deficiency of alpha-galactosidase).,no
Tibsovo,Tibsovo in combination with azacitidine is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) with an isocitrate dehydrogenase-1 (IDH1) R132 mutation who are not eligible to receive standard induction chemotherapy (see section 5.1).Tibsovo monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with an IDH1 R132 mutation who were previously treated by at least one prior line of systemic therapy.,no
Vafseo,Vafseo is indicated for the treatment of symptomatic anaemia associated with chronic kidney disease (CKD) in adults on chronic maintenance dialysis.,no
Akeega,Treatment of adult patients with prostate cancer.,no
Bekemv,"Bekemv is indicated in adults and children for the treatment of paroxysmal nocturnal haemoglobinuria (PNH). Evidence of clinical benefit is demonstrated in patients with haemolysis with clinical symptom(s) indicative of high disease activity, regardless of transfusion history (see section 5.1).",no
Opzelura,Opzelura is indicated for the treatment of non-segmental vitiligo with facial involvement in adults and adolescents from 12 years of age.,no
Sitagliptin / Metformin hydrochloride Sun,"For adult patients with type 2 diabetes mellitus:Sitagliptin/Metformin hydrochloride SUN is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin.Sitagliptin/Metformin hydrochloride SUN is indicated in combination with a sulphonylurea (i.e., triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea.Sitagliptin/Metformin hydrochloride SUN is indicated as triple combination therapy with a peroxisome proliferator-activated receptor gamma (PPARγ) agonist (i.e., a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPARγ agonist.Sitagliptin/Metformin hydrochloride SUN is also indicated as add-on to insulin (i.e., triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dose of insulin and metformin alone do not provide adequate glycaemic control.",no
Bimervax,Bimervax is indicated as a booster for active immunisation to prevent COVID-19 in individuals 16 years of age and older who have previously received a mRNA COVID-19 vaccine,no
Dapagliflozin Viatris,"Type 2 diabetes mellitusDapagliflozin Viatris is indicated in adults and children aged 10 years and above for the treatment of insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise- as monotherapy when metformin is considered inappropriate due to intolerance.- in addition to other medicinal products for the treatment of type 2 diabetes.For study results with respect to combination of therapies, effects on glycaemic control, cardiovascular and renal events, and the populations studied, see sections 4.4, 4.5 and 5.1.Heart failureDapagliflozin Viatris is indicated in adults for the treatment of symptomatic chronic heart failure with reduced ejection fraction.Chronic kidney diseaseDapagliflozin Viatris is indicated in adults for the treatment of chronic kidney disease.",no
Sotyktu,Treatment of moderate-to-severe plaque psoriasis in adults.,no
Pombiliti,Pombiliti (cipaglucosidase alfa) is a long-term enzyme replacement therapy used in combination with the enzyme stabiliser miglustat for the treatment of adults with late-onset Pompe disease (acid α-glucosidase [GAA] deficiency).,no
Hemgenix,Treatment of severe and moderately severe Haemophilia B (congenital Factor IX deficiency) in adult patients without a history of Factor IX inhibitors.,yes
Imjudo,Imjudo in combination with durvalumab is indicated for the first line treatment of adults with advanced or unresectable hepatocellular carcinoma (HCC).Imjudo in combination with durvalumab and platinum-based chemotherapy is indicated for the first-line treatment of adults with metastatic non-small cell lung cancer (NSCLC) with no sensitising EGFR mutations or ALK positive mutations.,no
Tremelimumab AstraZeneca,Tremelimumab AstraZeneca in combination with durvalumab and platinum-based chemotherapy is indicated for the first-line treatment of adults with metastatic non-small cell lung cancer (NSCLC) with no sensitising EGFR mutations or ALK positive mutations.,no
Dimethyl fumarate Accord,Dimethyl fumarate Accord is indicated for the treatment of adult and paediatric patients aged 13 years and older with relapsing remitting multiple sclerosis (RRMS).,no
Kauliv,"Kauliv is indicated in adults., , Treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture (see section 5.1). In postmenopausal women, a significant reduction in the incidence of vertebral and non-vertebral fractures but not hip fractures has been demonstrated., , Treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture (see section 5.1).,",no
Pirfenidone Viatris,Pirfenidone Viatris is indicated in adults for the treatment of mild to moderate idiopathic pulmonary fibrosis (IPF).,no
Sugammadex Amomed,Reversal of neuromuscular blockade induced by rocuronium or vecuronium.For the paediatric population: sugammadex is only recommended for routine reversal of rocuronium induced blockade in children and adolescents aged 2 to 17 years.,no
Zynlonta,"Zynlonta as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and high-grade B-cell lymphoma (HGBL), after two or more lines of systemic therapy.",yes
Plerixafor Accord,"Adult patientsPlerixafor Accord is indicated in combination with granulocyte-colony stimulating factor (G-CSF) to enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in adult patients with lymphoma or multiple myeloma whose cells mobilise poorly (see section 4.2).Paediatric patients (1 to less than 18 years)Plerixafor Accord is indicated in combination with G-CSF to enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in children with lymphoma or solid malignant tumours, either:- pre-emptively, when circulating stem cell count on the predicted day of collection after adequate mobilization with G-CSF (with or without chemotherapy) is expected to be insufficient with regards to desired hematopoietic stem cells yield, or- who previously failed to collect sufficient haematopoietic stem cells (see section 4.2).",no
Ebvallo,"Ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy. For solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",no
Dimethyl fumarate Teva,Dimethyl fumarate Teva is indicated for the treatment of adult and paediatric patients aged 13 years and older with relapsing remitting multiple sclerosis (RRMS).,no
Eladynos,Treatment of osteoporosis in postmenopausal women at increased risk of fracture.,no
Pluvicto,Pluvicto in combination with androgen deprivation therapy (ADT) with or without androgen receptor (AR) pathway inhibition is indicated for the treatment of adult patients with progressive prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) who have been treated with AR pathway inhibition and taxane based chemotherapy.,no
Locametz,"This medicinal product is for diagnostic use only. Locametz, after radiolabelling with gallium 68, is indicated for the detection of prostate specific membrane antigen (PSMA) positive lesions with positron emission tomography (PET) in adults with prostate cancer (PCa) in the following clinical settings:Primary staging of patients with high risk PCa prior to primary curative therapy,Suspected PCa recurrence in patients with increasing levels of serum prostate specific antigen (PSA) after primary curative therapy,Identification of patients with PSMA positive progressive metastatic castration resistant prostate cancer (mCRPC) for whom PSMA targeted therapy is indicated (see section 4.4).",no
Livmarli,Livmarli is indicated for the treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 2 months of age and older.,no
Spevigo,Spevigo is indicated for the treatment of flares in adult patients with generalised pustular psoriasis (GPP) as monotherapy.,yes
Pemetrexed Baxter,Malignant pleural mesotheliomaPemetrexed Baxter in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma.Non-small cell lung cancerPemetrexed Baxter in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology (see section 5.1).Pemetrexed Baxter is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy (see section 5.1).Pemetrexed Baxter is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology (see section 5.1).,no
Qdenga,Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.The use of Qdenga should be in accordance with official recommendations.,no
Mycapssa,Mycapssa is indicated for maintenance treatment in adult patients with acromegaly who have responded to and tolerated treatment with somatostatin analogues.,no
Teriparatide Sun,"Teriparatide SUN is indicated in adults.Treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture (see section 5.1). In postmenopausal women, a significant reduction in the incidence of vertebral and non-vertebral fractures but not hip fractures has been demonstrated.Treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture (see section 5.1).",no
Enjaymo,Enjaymo is indicated for the treatment of haemolytic anaemia in adult patients with cold agglutinin disease (CAD).,no
VidPrevtyn Beta,VidPrevtyn Beta is indicated as a booster for active immunisation to prevent COVID-19 in adults who have previously received an mRNA or adenoviral vector COVID-19 vaccine (see sections 4.2 and 5.1 in product information document).The use of this vaccine should be in accordance with official recommendations.,no
Ximluci,Ximluci is indicated in adults for:The treatment of neovascular (wet) age-related macular degeneration (AMD)The treatment of visual impairment due to diabetic macular oedema (DME)The treatment of proliferative diabetic retinopathy (PDR)The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO)The treatment of visual impairment due to choroidal neovascularisation (CNV),no
Teriflunomide Accord,Teriflunomide Accord is indicated for the treatment of adult patients and paediatric patients aged 10 years and older with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 for important information on the population for which efficacy has been established).,no
Teriflunomide Mylan,Teriflunomide Mylan is indicated for the treatment of adult patients and paediatric patients aged 10 years and older (body weight > 40 kg) with relapsing remitting multiple sclerosis (MS) (please refer to section 5.1 of the SmPC for important information on the population for which efficacy has been established).,no
Livtencity,"LIVTENCITY is indicated for the treatment of cytomegalovirus (CMV) infection and/or disease that are refractory (with or without resistance) to one or more prior therapies, including ganciclovir, valganciclovir, cidofovir or foscarnet in adult patients who have undergone a haematopoietic stem cell transplant (HSCT) or solid organ transplant (SOT).Consideration should be given to official guidance on the appropriate use of antiviral agents.",no
Pyrukynd,Pyrukynd is indicated for the treatment of pyruvate kinase deficiency (PK deficiency) in adult patients (see section 4.4).,no
Sorafenib Accord,Hepatocellular carcinomaSorafenib Accord is indicated for the treatment of hepatocellular carcinoma (see section 5.1).Renal cell carcinomaSorafenib Accord is indicated for the treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy.,no
Melatonin Neurim,Melatonin Neurim is indicated as monotherapy for the short-term treatment of primary insomnia characterised by poor quality of sleep in patients who are aged 55 or over.,no
Beyfortus,Beyfortus is indicated for the prevention of Respiratory Syncytial Virus (RSV) lower respiratory tract disease in neonates and infants during their first RSV season.Beyfortus should be used in accordance with official recommendations.,no
Tezspire,Tezspire is indicated as an add-on maintenance treatment in adults and adolescents 12 years and older with severe asthma who are inadequately controlled despite high dose inhaled corticosteroids plus another medicinal product for maintenance treatment.,no
Thalidomide Lipomed,"Thalidomide Lipomed in combination with melphalan and prednisone is indicated as first line treatment of patients with untreated multiple myeloma, aged ≥ 65 years or ineligible for high dose chemotherapy.Thalidomide Lipomed is prescribed and dispensed in accordance with the Thalidomide Lipomed Pregnancy Prevention Programme (see section 4.4).",no
Lutetium (177Lu) chloride Billev (previously Illuzyce),"Lutetium (177Lu) chloride Billev is a radiopharmaceutical precursor, and it is not intended for direct use in patients. It is to be used only for the radiolabelling of carrier molecules that have been specifically developed and authorised for radiolabelling with lutetium (177Lu) chloride.",no
Opdualag,Opdualag is indicated for the first line treatment of advanced (unresectable or metastatic) melanoma in adults and adolescents 12 years of age and older with tumour cell PD L1 expression < 1%.,no
Nulibry,NULIBRY is indicated for the treatment of patients with molybdenum cofactor deficiency (MoCD) Type A.,no
Vabysmo,"Vabysmo is indicated for the treatment of adult patients with:neovascular (wet) age-related macular degeneration (nAMD),visual impairment due to diabetic macular oedema (DME).",no
Amvuttra,Treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy.,no
Celdoxome pegylated liposomal,"Celdoxome pegylated liposomal is indicated in adults:as monotherapy for patients with metastatic breast cancer, where there is an increased cardiac risk.or treatment of advanced ovarian cancer in women who have failed a first-line platinum-based chemotherapy regimen.in combination with bortezomib for the treatment of progressive multiple myeloma in patients who have received at least one prior therapy and who have already undergone or are unsuitable for bone marrow transplant.for treatment of AIDS-related Kaposi’s sarcoma (KS) in patients with low CD4 counts (< 200 CD4 lymphocytes/mm3) and extensive mucocutaneous or visceral disease.Celdoxome pegylated liposomal may be used as first-line systemic chemotherapy, or as second line chemotherapy in AIDS-KS patients with disease that has progressed with, or in patients intolerant to, prior combination systemic chemotherapy comprising at least two of the following agents: a vinca alkaloid, bleomycin and standard doxorubicin (or other anthracycline).",no
Lupkynis,"Lupkynis is indicated in combination with mycophenolate mofetil for the treatment of adult patients with active class III, IV or V (including mixed class III/V and IV/V) lupus nephritis (LN).",no
Mounjaro,"Mounjaro is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise- as monotherapy when metformin is considered inappropriate due to intolerance or contraindications- in addition to other medicinal products for the treatment of diabetes.For study results with respect to combinations, effects on glycaemic control and the populations studied, see sections 4.4, 4.5 and 5.1.",no
Ranivisio,Ranivisio is indicated in adults for:• The treatment of neovascular (wet) age-related macular degeneration (AMD)• The treatment of visual impairment due to diabetic macular oedema (DME)• The treatment of proliferative diabetic retinopathy (PDR)• The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO)• The treatment of visual impairment due to choroidal neovascularisation (CNV),no
Scemblix,Scemblix is indicated for the treatment of adult patients with Philadelphia chromosome positive chronic myeloid leukaemia in chronic phase (Ph+ CML CP) previously treated with two or more tyrosine kinase inhibitors (see section 5.1).,no
Roctavian,Treatment of severe haemophilia A (congenital factor VIII deficiency) in adult patients without a history of factor VIII inhibitors and without detectable antibodies to adeno-associated virus serotype 5 (AAV5).,yes
Tecvayli,"TECVAYLI is indicated as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 antibody and have demonstrated disease progression on the last therapy.",yes
Pepaxti,"Pepaxti is indicated, in combination with dexamethasone, for the treatment of adult patients with multiple myeloma who have received at least three prior lines of therapies, whose disease is refractory to at least one proteasome inhibitor, one immunomodulatory agent, and one anti-CD38 monoclonal antibody, and who have demonstrated disease progression on or after the last therapy. For patients with a prior autologous stem cell transplantation, the time to progression should be at least 3 years from transplantation (see section 4.4).",no
Rayvow,"RAYVOW is indicated for the acute treatment of the headache phase of migraine attacks, with or without aura in adults.",no
Vegzelma,"VEGZELMA in combination with fluoropyrimidine based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum.VEGZELMA in combination with paclitaxel is indicated for first line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status, please refer to section 5.1.VEGZELMA in combination with capecitabine is indicated for first line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Patients who have received taxane and anthracycline containing regimens in the adjuvant setting within the last 12 months should be excluded from treatment with VEGZELMA in combination with capecitabine. For further information as to HER2 status, please refer to section 5.1.VEGZELMA, in addition to platinum based chemotherapy, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent non small cell lung cancer (NSCLC) other than predominantly squamous cell histology.VEGZELMA, in combination with erlotinib, is indicated for first line treatment of adult patients with unresectable advanced, metastatic or recurrent NSCLC with Epidermal Growth Factor Receptor (EGFR) activating mutations (see section 5.1).VEGZELMA, in combination with interferon alfa 2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer.VEGZELMA, in combination with carboplatin and paclitaxel is indicated for the front line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics (FIGO) stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer (see section 5.1).VEGZELMA, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other vascular endothelial growth factor (VEGF) inhibitors or VEGF receptor–targeted agents.VEGZELMA in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents (see section 5.1).VEGZELMA, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix (see section 5.1).",no
Sunlenca,"Sunlenca injection, in combination with other antiretroviral(s), is indicated for the treatment of adults with multidrug resistant HIV 1 infection for whom it is otherwise not possible to construct a suppressive anti viral regimen (see sections 4.2 and 5.1).Sunlenca tablet, in combination with other antiretroviral(s), is indicated for the treatment of adults with multidrug resistant HIV 1 infection for whom it is otherwise not possible to construct a suppressive anti viral regimen, for oral loading prior to administration of long-acting lenacapavir injection (see sections 4.2 and 5.1).",no
Vyvgart,Vyvgart is indicated as an add on to standard therapy for the treatment of adult patients with generalised myasthenia gravis (gMG) who are anti acetylcholine receptor (AChR) antibody positive.,no
Sitagliptin / Metformin hydrochloride Accord,"For adult patients with type 2 diabetes mellitus:It is indicated as an adjunct to diet and exercise to improve glycaemic control in patients inadequately controlled on their maximal tolerated dose of metformin alone or those already being treated with the combination of sitagliptin and metformin.It is indicated in combination with a sulphonylurea (i.e., triple combination therapy) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a sulphonylurea.It is indicated as triple combination therapy with a peroxisome proliferator-activated receptor gamma (PPARγ) agonist (i.e., a thiazolidinedione) as an adjunct to diet and exercise in patients inadequately controlled on their maximal tolerated dose of metformin and a PPARγ agonist.It is also indicated as add-on to insulin (i.e., triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in patients when stable dose of insulin and metformin alone do not provide adequate glycaemic control.",no
Upstaza,"Upstaza is indicated for the treatment of patients aged 18 months and older with a clinical, molecular, and genetically confirmed diagnosis of aromatic L amino acid decarboxylase (AADC) deficiency with a severe phenotype (see section 5.1).",no
Zokinvy,Zokinvy is indicated for the treatment of patients 12 months of age and older with a genetically confirmed diagnosis of Hutchinson-Gilford progeria syndrome or a processing-deficient progeroid laminopathy associated with either a heterozygous LMNA mutation with progerin-like protein accumulation or a homozygous or compound heterozygous ZMPSTE24 mutation.,no
